symbol,date,open,high,low,close,volume
DOLAT,2021-05-25,74.35,75.0,72.05,72.5,333257
DOLAT,2021-05-26,72.55,73.45,69.65,70.15,455537
DOLAT,2021-05-27,70.95,71.65,69.4,69.7,328472
DOLAT,2021-05-28,71.0,72.8,67.6,68.85,388300
DOLAT,2021-05-31,69.9,70.4,68.7,68.9,204095
DOLAT,2021-06-01,68.9,69.9,67.55,67.9,214529
DOLAT,2021-06-02,68.9,76.3,67.55,74.1,1225646
DOLAT,2021-06-03,76.25,76.4,73.5,74.1,481922
DOLAT,2021-06-04,74.45,75.25,73.0,74.2,228077
DOLAT,2021-06-07,74.15,74.75,73.9,74.5,202710
DOLAT,2021-06-08,74.95,75.35,71.9,72.75,319821
DOLAT,2021-06-09,73.8,73.95,70.9,71.85,239421
DOLAT,2021-06-10,73.4,73.4,71.1,72.25,234929
DOLAT,2021-06-11,72.25,74.4,71.25,72.55,308343
DOLAT,2021-06-14,73.65,80.35,71.6,77.35,1474239
DOLAT,2021-06-15,77.35,79.6,76.15,76.75,639190
DOLAT,2021-06-16,76.95,78.0,75.1,75.65,331044
DOLAT,2021-06-17,75.65,77.0,72.9,73.65,371810
DOLAT,2021-06-18,74.85,79.0,61.3,71.45,735134
DOLAT,2021-06-21,70.6,74.4,70.5,72.65,398966
DOLAT,2021-06-22,73.2,74.6,72.6,72.8,224184
DOLAT,2021-06-23,72.55,74.35,72.1,72.3,280555
DOLAT,2021-06-24,73.85,74.3,72.2,72.45,214356
DOLAT,2021-06-25,73.7,73.7,72.0,72.7,129722
DOLAT,2021-06-28,73.7,73.7,72.5,72.8,143769
DOLAT,2021-06-29,73.45,73.65,72.4,72.55,92190
DOLAT,2021-06-30,73.45,75.3,73.15,73.95,221447
DOLAT,2021-07-01,74.75,78.95,74.15,78.25,785901
DOLAT,2021-07-02,77.6,78.3,75.55,75.95,241438
DOLAT,2021-07-05,76.55,77.9,76.35,76.7,162256
DOLAT,2021-07-06,76.8,79.4,76.0,76.4,430534
DOLAT,2021-07-07,76.95,79.45,76.4,77.85,337185
DOLAT,2021-07-08,78.4,92.3,77.85,89.35,5942064
DOLAT,2021-07-09,90.0,95.25,87.35,93.55,2221658
DOLAT,2021-07-12,93.65,95.45,91.55,92.15,1225155
DOLAT,2021-07-13,93.1,98.5,91.7,97.0,1679732
DOLAT,2021-07-14,97.9,116.4,97.15,114.85,5410591
DOLAT,2021-07-15,115.0,115.8,104.0,104.8,1709706
DOLAT,2021-07-16,105.0,110.4,104.0,107.25,994695
DOLAT,2021-07-19,106.75,110.0,104.1,105.8,654365
DOLAT,2021-07-20,105.8,108.2,101.0,102.5,670344
DOLAT,2021-07-22,110.0,112.75,106.35,112.75,929647
DOLAT,2021-07-23,115.7,123.0,115.1,117.0,1551455
DOLAT,2021-07-26,117.25,127.9,117.25,119.7,1424314
DOLAT,2021-07-27,121.0,126.4,119.0,123.15,810875
DOLAT,2021-07-28,123.85,123.9,115.0,118.45,573470
DOLAT,2021-07-29,119.0,123.6,115.4,116.05,512480
DOLAT,2021-07-30,116.9,119.0,116.55,117.55,340909
DOLAT,2021-08-02,119.0,123.0,118.1,120.3,445033
DOLAT,2021-08-03,120.9,121.5,117.8,118.5,246080
DOLAT,2021-08-04,120.0,127.8,119.75,123.15,1047488
DOLAT,2021-08-05,123.8,123.9,116.5,121.25,427692
DOLAT,2021-08-06,122.5,126.7,119.1,120.25,1116225
DOLAT,2021-08-09,121.25,122.1,118.25,119.15,300787
DOLAT,2021-08-10,119.15,121.75,103.45,111.4,946339
DOLAT,2021-08-11,110.0,114.75,101.2,109.7,1010838
DOLAT,2021-08-12,110.8,121.0,110.8,119.05,838915
DOLAT,2021-08-13,116.0,120.4,111.65,112.65,935685
DOLAT,2021-08-16,114.0,114.25,106.1,107.1,434244
DOLAT,2021-08-17,107.8,108.95,105.2,106.8,315144
DOLAT,2021-08-18,108.0,108.35,103.75,104.45,252234
DOLAT,2021-08-20,101.0,103.95,99.55,100.75,419874
DOLAT,2021-08-23,101.5,103.0,87.65,91.5,1245359
DOLAT,2021-08-24,91.5,97.7,89.95,96.6,464670
DOLAT,2021-08-25,97.9,98.25,94.2,95.15,250649
DOLAT,2021-08-26,93.25,97.3,93.25,95.35,205149
DOLAT,2021-08-27,95.9,98.05,94.5,95.75,185060
DOLAT,2021-08-30,98.0,104.65,96.1,101.8,533027
DOLAT,2021-08-31,102.95,104.05,99.1,100.15,297814
DOLAT,2021-09-01,101.9,101.95,99.15,99.4,196635
DOLAT,2021-09-02,101.0,101.2,98.7,99.1,185560
DOLAT,2021-09-03,100.5,105.0,99.65,99.95,312227
DOLAT,2021-09-06,100.1,102.0,98.7,99.15,210183
DOLAT,2021-09-07,100.8,100.8,97.0,97.85,172796
DOLAT,2021-09-08,98.0,99.25,95.45,96.0,275461
DOLAT,2021-09-09,96.5,101.1,94.2,94.8,502734
DOLAT,2021-09-13,94.55,96.3,92.7,93.05,301476
DOLAT,2021-09-14,93.05,96.15,90.45,94.9,410933
DOLAT,2021-09-15,96.5,96.5,93.5,94.35,234933
DOLAT,2021-09-16,95.4,95.95,93.55,94.25,170355
DOLAT,2021-09-17,95.9,95.9,90.25,92.05,374830
DOLAT,2021-09-20,89.0,93.65,88.7,90.0,337500
DOLAT,2021-09-21,88.25,89.85,86.0,88.0,413365
DOLAT,2021-09-22,88.1,92.1,88.1,90.95,368633
DOLAT,2021-09-23,92.0,94.0,92.0,92.1,173049
DOLAT,2021-09-24,93.1,93.5,90.1,90.5,122567
DOLAT,2021-09-27,92.5,92.5,87.75,88.0,361526
DOLAT,2021-09-28,88.0,90.5,86.0,88.65,272661
DOLAT,2021-09-29,89.0,89.0,87.2,87.5,302897
DOLAT,2021-09-30,88.5,89.9,87.0,88.0,245585
DOLAT,2021-10-01,88.0,92.0,87.7,90.35,275156
DOLAT,2021-10-04,91.45,94.15,90.0,92.35,490022
DOLAT,2021-10-05,93.0,95.6,92.6,93.65,242897
DOLAT,2021-10-06,94.5,94.9,89.65,90.3,312938
DOLAT,2021-10-07,91.9,93.1,90.55,92.35,162732
DOLAT,2021-10-08,93.0,93.3,91.2,91.65,134666
DOLAT,2021-10-11,92.9,93.0,88.95,89.35,498530
DOLAT,2021-10-12,90.1,92.5,89.7,92.15,320643
DOLAT,2021-10-13,92.9,93.5,90.6,91.4,301783
DOLAT,2021-10-14,92.0,92.8,91.0,91.5,183822
DOLAT,2021-10-18,92.0,93.3,90.2,90.9,246001
DOLAT,2021-10-19,91.95,92.0,88.0,89.0,258538
DOLAT,2021-10-20,89.8,89.8,84.0,87.35,289444
DOLAT,2021-10-21,88.75,89.05,85.9,87.6,152182
DOLAT,2021-10-22,88.0,88.95,84.8,85.3,209494
DOLAT,2021-10-25,86.25,86.6,79.7,82.7,311998
DOLAT,2021-10-26,83.0,88.8,83.0,88.3,188857
DOLAT,2021-10-27,89.0,89.0,85.0,85.55,140249
DOLAT,2021-10-28,85.0,86.85,82.1,83.9,196285
DOLAT,2021-10-29,84.0,85.75,82.55,83.95,115840
DOLAT,2021-11-01,83.5,84.85,79.8,82.1,353370
DOLAT,2021-11-02,83.5,84.7,81.9,83.05,141494
DOLAT,2021-11-03,83.8,91.5,83.65,88.9,549225
DOLAT,2021-11-04,90.0,92.3,90.0,90.95,234027
DOLAT,2021-11-08,93.15,93.55,90.05,91.7,290402
DOLAT,2021-11-09,93.3,93.5,91.25,92.8,262762
DOLAT,2021-11-10,93.4,93.4,91.5,91.6,182403
DOLAT,2021-11-11,91.6,93.5,88.2,89.55,325182
DOLAT,2021-11-12,90.2,90.7,88.6,89.25,161851
DOLAT,2021-11-15,88.05,92.0,86.1,87.75,327387
DOLAT,2021-11-16,89.0,90.0,86.85,88.5,260113
DOLAT,2021-11-17,87.0,91.3,87.0,88.1,189406
DOLAT,2021-11-18,87.5,89.5,85.8,87.6,177610
DOLAT,2021-11-22,87.9,88.95,84.4,86.5,191674
DOLAT,2021-11-23,85.0,91.05,84.75,89.6,234386
DOLAT,2021-11-24,90.7,91.7,88.2,89.4,188313
DOLAT,2021-11-25,90.8,91.4,89.05,90.5,118262
DOLAT,2021-11-26,90.45,90.45,86.4,86.9,177757
DOLAT,2021-11-29,86.05,87.25,82.75,84.7,231977
DOLAT,2021-11-30,84.0,89.45,83.85,85.2,175934
DOLAT,2021-12-01,86.8,86.85,84.3,85.35,125361
DOLAT,2021-12-02,86.5,89.9,85.15,87.4,158340
DOLAT,2021-12-03,88.7,89.25,86.5,87.05,102238
DOLAT,2021-12-06,88.5,88.5,85.7,86.95,164182
DOLAT,2021-12-07,88.0,89.7,86.5,88.6,174838
DOLAT,2021-12-08,89.7,90.75,88.7,90.1,206004
DOLAT,2021-12-09,90.9,91.0,89.45,89.65,150166
DOLAT,2021-12-10,89.7,90.45,88.8,89.7,93746
DOLAT,2021-12-13,89.8,92.0,89.35,89.5,219873
DOLAT,2021-12-14,90.25,90.25,88.5,88.75,65838
DOLAT,2021-12-15,90.5,90.5,88.05,88.05,100319
DOLAT,2021-12-16,88.3,89.9,85.2,86.2,154148
DOLAT,2021-12-17,86.9,86.9,84.45,85.0,99931
