symbol,date,open,high,low,close,volume
BHARATFORG,2008-11-11,54.5,58.5,50.33,51.22,1299396
BHARATFORG,2008-11-12,50.75,54.5,50.25,51.45,1490062
BHARATFORG,2008-11-14,53.0,53.95,50.7,51.1,637702
BHARATFORG,2008-11-17,52.42,52.5,50.0,51.05,1159092
BHARATFORG,2008-11-18,50.0,52.2,50.0,51.0,1854914
BHARATFORG,2008-11-19,52.5,52.5,48.6,49.13,1044790
BHARATFORG,2008-11-20,47.5,48.5,43.35,45.13,1116010
BHARATFORG,2008-11-21,45.03,46.9,44.1,46.22,764632
BHARATFORG,2008-11-24,46.0,48.5,44.8,45.6,198900
BHARATFORG,2008-11-25,47.9,48.5,45.0,45.3,144254
BHARATFORG,2008-11-26,46.9,47.0,42.63,44.08,861166
BHARATFORG,2008-11-28,43.5,44.95,43.0,43.83,385602
BHARATFORG,2008-12-01,43.38,44.5,42.58,43.42,236868
BHARATFORG,2008-12-02,42.5,42.88,41.63,41.95,423698
BHARATFORG,2008-12-03,42.95,43.03,40.8,41.1,673236
BHARATFORG,2008-12-04,42.2,44.5,41.35,43.83,546572
BHARATFORG,2008-12-05,44.0,45.72,42.97,43.78,1200370
BHARATFORG,2008-12-08,45.2,45.95,42.55,44.03,1290240
BHARATFORG,2008-12-10,45.5,45.5,42.65,43.53,711088
BHARATFORG,2008-12-11,43.5,43.53,41.6,42.15,1248148
BHARATFORG,2008-12-12,42.0,42.0,39.03,40.08,1750824
BHARATFORG,2008-12-15,41.0,42.25,40.5,40.9,971828
BHARATFORG,2008-12-16,41.13,43.45,40.95,42.65,1734576
BHARATFORG,2008-12-17,43.85,48.25,42.35,42.83,5524924
BHARATFORG,2008-12-18,43.45,45.1,41.35,43.95,2468224
BHARATFORG,2008-12-19,43.5,45.35,43.0,43.53,1691564
BHARATFORG,2008-12-22,44.8,46.95,44.03,44.75,2636382
BHARATFORG,2008-12-23,44.75,45.0,42.13,42.5,1231770
BHARATFORG,2008-12-24,42.03,42.5,40.83,41.17,928258
BHARATFORG,2008-12-26,41.0,42.45,39.08,39.45,800306
BHARATFORG,2008-12-29,39.9,40.92,39.0,40.17,1214080
BHARATFORG,2008-12-30,40.5,41.65,40.5,41.17,786850
BHARATFORG,2008-12-31,41.2,42.8,41.2,41.92,825022
BHARATFORG,2009-01-01,43.0,43.75,42.75,43.3,865326
BHARATFORG,2009-01-02,43.63,45.0,43.1,43.72,1215978
BHARATFORG,2009-01-05,44.5,45.78,44.03,44.97,1230926
BHARATFORG,2009-01-06,45.45,46.92,44.5,46.4,1920550
BHARATFORG,2009-01-07,47.25,48.97,43.5,45.6,3401652
BHARATFORG,2009-01-09,45.5,47.0,42.6,44.78,1372862
BHARATFORG,2009-01-12,43.88,44.4,40.3,40.75,497832
BHARATFORG,2009-01-13,41.25,41.47,38.03,39.67,992774
BHARATFORG,2009-01-14,39.5,42.45,39.5,41.97,795180
BHARATFORG,2009-01-15,42.0,42.0,39.53,40.35,286704
BHARATFORG,2009-01-16,41.4,42.0,39.25,40.13,632672
BHARATFORG,2009-01-19,40.75,41.95,40.0,41.47,2057556
BHARATFORG,2009-01-20,40.05,42.8,40.03,40.88,797852
BHARATFORG,2009-01-21,40.88,40.97,38.9,39.15,502892
BHARATFORG,2009-01-22,40.25,40.47,34.78,36.55,4018890
BHARATFORG,2009-01-23,35.6,38.47,35.6,37.97,2541684
BHARATFORG,2009-01-27,37.97,39.5,37.15,37.67,649116
BHARATFORG,2009-01-28,38.4,40.55,37.53,39.9,537734
BHARATFORG,2009-01-29,40.5,44.83,39.5,43.0,2204888
BHARATFORG,2009-01-30,42.0,42.97,41.0,42.45,290784
BHARATFORG,2009-02-02,41.53,42.2,40.05,40.65,177286
BHARATFORG,2009-02-03,40.1,42.0,40.1,40.78,221718
BHARATFORG,2009-02-04,41.03,41.75,39.33,39.6,347652
BHARATFORG,2009-02-05,40.25,40.25,39.47,39.58,205110
BHARATFORG,2009-02-06,40.0,41.17,39.8,40.75,225610
BHARATFORG,2009-02-09,41.95,43.75,41.0,43.08,342078
BHARATFORG,2009-02-10,43.0,44.0,42.25,42.6,221486
BHARATFORG,2009-02-11,41.58,42.45,40.5,40.72,189200
BHARATFORG,2009-02-12,40.95,41.95,40.25,40.67,257690
BHARATFORG,2009-02-13,41.03,42.22,40.5,41.5,271466
BHARATFORG,2009-02-16,41.25,42.5,40.5,40.72,227054
BHARATFORG,2009-02-17,40.47,42.47,40.47,41.8,431932
BHARATFORG,2009-02-18,41.97,42.42,40.38,40.7,355326
BHARATFORG,2009-02-19,41.0,41.47,40.03,40.4,121356
BHARATFORG,2009-02-20,40.0,40.03,39.05,39.67,147874
BHARATFORG,2009-02-24,39.25,41.8,38.28,41.33,384368
BHARATFORG,2009-02-25,42.5,43.0,41.92,42.83,409466
BHARATFORG,2009-02-26,43.0,45.7,41.8,44.6,684400
BHARATFORG,2009-02-27,44.5,47.95,44.05,47.42,1057198
BHARATFORG,2009-03-02,47.5,49.25,45.55,46.75,1446040
BHARATFORG,2009-03-03,46.5,46.97,41.65,42.25,838712
BHARATFORG,2009-03-04,42.17,43.47,40.83,42.45,519728
BHARATFORG,2009-03-05,42.97,43.2,40.5,40.8,346282
BHARATFORG,2009-03-06,41.0,41.5,40.0,40.8,193162
BHARATFORG,2009-03-09,40.8,41.45,37.83,38.72,318636
BHARATFORG,2009-03-12,36.8,41.45,36.8,41.0,1429496
BHARATFORG,2009-03-13,42.45,46.0,41.65,45.13,1382964
BHARATFORG,2009-03-16,45.75,48.25,43.55,47.53,1526932
BHARATFORG,2009-03-17,47.5,48.0,45.85,46.58,430516
BHARATFORG,2009-03-18,46.5,48.67,45.8,46.45,457162
BHARATFORG,2009-03-19,44.5,46.5,44.5,46.1,648470
BHARATFORG,2009-03-20,46.15,47.78,44.72,46.5,838466
BHARATFORG,2009-03-23,47.5,48.5,45.0,45.92,293124
BHARATFORG,2009-03-24,46.2,47.25,45.1,45.72,185302
BHARATFORG,2009-03-25,45.5,46.38,44.33,45.25,259724
BHARATFORG,2009-03-26,45.75,46.5,43.72,44.83,1709198
BHARATFORG,2009-03-27,45.4,48.9,45.25,48.13,531204
BHARATFORG,2009-03-30,47.7,54.4,47.7,49.4,2166904
BHARATFORG,2009-03-31,49.03,51.5,48.2,48.92,900550
BHARATFORG,2009-04-01,49.03,51.0,48.55,50.08,579912
BHARATFORG,2009-04-02,51.5,54.75,51.28,54.08,1678064
BHARATFORG,2009-04-06,55.35,61.0,55.0,60.6,1178042
BHARATFORG,2009-04-08,58.0,64.95,56.25,63.0,2352728
BHARATFORG,2009-04-09,63.75,65.5,59.3,60.53,1009248
BHARATFORG,2009-04-13,61.5,65.5,60.15,62.8,1502942
BHARATFORG,2009-04-15,62.0,67.7,60.53,67.15,1346590
BHARATFORG,2009-04-16,68.15,69.15,58.5,60.72,1110886
BHARATFORG,2009-04-17,60.1,66.95,59.0,60.25,541108
BHARATFORG,2009-04-20,56.53,64.0,56.53,58.9,371594
BHARATFORG,2009-04-21,57.5,61.78,55.83,60.4,579780
BHARATFORG,2009-04-22,61.33,63.0,58.0,61.92,441940
BHARATFORG,2009-04-23,62.0,62.5,59.0,60.63,215068
BHARATFORG,2009-04-24,60.63,63.75,60.63,61.72,305166
BHARATFORG,2009-04-27,61.9,64.53,59.25,61.47,504768
BHARATFORG,2009-04-28,60.5,62.95,59.85,60.38,306338
BHARATFORG,2009-04-29,60.5,64.5,57.6,62.42,1032024
BHARATFORG,2009-05-04,63.5,66.3,63.25,65.22,844220
BHARATFORG,2009-05-05,65.4,69.0,65.4,68.03,957756
BHARATFORG,2009-05-06,68.03,76.7,67.5,71.38,2019864
BHARATFORG,2009-05-07,72.82,74.65,70.5,71.15,534606
BHARATFORG,2009-05-08,72.0,72.5,68.82,70.47,255082
BHARATFORG,2009-05-11,72.43,72.43,67.5,68.38,174698
BHARATFORG,2009-05-12,68.5,71.25,65.15,70.28,326578
BHARATFORG,2009-05-13,70.0,72.5,69.0,70.88,288020
BHARATFORG,2009-05-14,69.0,74.8,67.82,73.38,948950
BHARATFORG,2009-05-15,75.0,78.7,74.32,75.7,1939312
BHARATFORG,2009-05-18,84.97,90.0,84.97,88.43,2008
BHARATFORG,2009-05-19,92.5,93.43,75.4,83.57,997072
BHARATFORG,2009-05-20,81.82,92.5,79.05,79.88,2468176
BHARATFORG,2009-05-21,79.0,83.2,77.78,78.75,528516
BHARATFORG,2009-05-22,77.5,81.5,75.5,80.5,1008870
BHARATFORG,2009-05-25,81.0,83.45,80.0,81.7,565448
BHARATFORG,2009-05-26,83.2,85.5,77.63,77.95,660996
BHARATFORG,2009-05-27,78.55,90.7,78.0,88.82,3609948
BHARATFORG,2009-05-28,91.0,98.0,89.5,95.65,4601200
BHARATFORG,2009-05-29,95.9,95.9,89.53,90.03,1524198
BHARATFORG,2009-06-01,90.03,94.0,87.57,88.43,904464
BHARATFORG,2009-06-02,89.93,90.82,87.55,89.78,772706
BHARATFORG,2009-06-03,90.0,96.45,89.75,95.18,2707402
BHARATFORG,2009-06-04,96.55,97.0,90.55,91.9,1447332
BHARATFORG,2009-06-05,93.5,94.45,87.75,88.35,1207668
BHARATFORG,2009-06-08,89.9,92.4,85.38,89.4,1773036
BHARATFORG,2009-06-09,88.68,90.5,85.8,88.28,418140
BHARATFORG,2009-06-10,89.0,96.0,87.05,94.5,1729244
BHARATFORG,2009-06-11,97.35,99.0,91.5,92.55,2892880
BHARATFORG,2009-06-12,93.5,94.45,89.03,90.55,1036444
BHARATFORG,2009-06-15,90.5,91.25,87.03,87.97,726622
BHARATFORG,2009-06-16,86.0,89.43,85.0,88.0,894104
BHARATFORG,2009-06-17,88.5,89.5,83.75,85.93,613426
BHARATFORG,2009-06-18,86.0,86.75,82.78,84.07,1990718
BHARATFORG,2009-06-19,85.0,85.45,80.6,82.8,256580
BHARATFORG,2009-06-22,84.25,84.5,78.78,80.25,596176
BHARATFORG,2009-06-23,77.5,79.47,76.1,78.07,452444
BHARATFORG,2009-06-24,78.3,80.78,75.35,75.97,3506462
BHARATFORG,2009-06-25,76.0,78.95,73.57,75.18,3722986
BHARATFORG,2009-06-26,76.5,77.25,74.6,75.95,1084608
BHARATFORG,2009-06-29,76.95,77.5,74.97,75.38,903542
BHARATFORG,2009-06-30,77.43,77.47,71.28,72.07,1858452
BHARATFORG,2009-07-01,69.15,71.97,60.78,70.82,1236256
BHARATFORG,2009-07-02,73.45,73.45,70.57,72.3,684540
BHARATFORG,2009-07-03,71.0,73.65,70.5,72.57,838364
BHARATFORG,2009-07-06,72.5,73.97,67.05,68.68,498744
BHARATFORG,2009-07-07,69.5,70.43,66.75,68.72,343666
BHARATFORG,2009-07-08,67.95,68.85,66.05,68.5,516286
BHARATFORG,2009-07-09,68.0,71.25,66.78,67.45,622982
BHARATFORG,2009-07-10,69.45,75.57,64.95,66.2,375456
BHARATFORG,2009-07-13,65.0,68.45,63.2,64.35,764776
BHARATFORG,2009-07-14,65.95,69.0,63.25,67.8,573026
BHARATFORG,2009-07-15,69.5,71.05,68.05,70.63,519942
BHARATFORG,2009-07-16,71.7,74.72,71.53,72.93,849392
BHARATFORG,2009-07-17,73.93,75.95,72.57,74.13,408362
BHARATFORG,2009-07-20,75.0,75.95,73.5,75.0,382006
BHARATFORG,2009-07-21,75.9,77.0,73.75,76.38,441514
BHARATFORG,2009-07-22,77.0,78.47,76.5,77.38,625180
BHARATFORG,2009-07-23,78.15,80.43,77.8,79.85,452310
BHARATFORG,2009-07-24,80.95,92.45,75.6,91.03,6556750
BHARATFORG,2009-07-27,86.28,94.3,86.28,92.55,2758798
BHARATFORG,2009-07-28,92.0,96.75,91.28,95.38,1108436
BHARATFORG,2009-07-29,95.0,95.5,91.7,94.1,845404
BHARATFORG,2009-07-30,94.0,97.5,93.0,95.35,768966
BHARATFORG,2009-07-31,96.22,107.38,94.57,105.2,2751866
BHARATFORG,2009-08-03,104.18,127.5,104.18,124.35,16900568
BHARATFORG,2009-08-04,127.82,127.82,118.75,121.13,9693666
BHARATFORG,2009-08-05,120.3,123.95,118.25,120.88,3438600
BHARATFORG,2009-08-06,119.5,121.5,116.3,116.95,1618282
BHARATFORG,2009-08-07,115.9,118.2,112.28,114.15,2701336
BHARATFORG,2009-08-10,116.5,119.43,107.45,108.97,2212702
BHARATFORG,2009-08-11,108.65,117.95,107.75,116.7,2337884
BHARATFORG,2009-08-12,116.0,116.0,109.55,113.5,1928594
BHARATFORG,2009-08-13,115.0,119.72,111.5,116.8,3447230
BHARATFORG,2009-08-14,117.0,117.65,112.03,113.15,1408154
BHARATFORG,2009-08-17,112.25,112.5,105.25,105.8,787320
BHARATFORG,2009-08-18,105.0,116.68,105.0,114.45,3330602
BHARATFORG,2009-08-19,116.25,116.25,108.05,108.57,2359294
BHARATFORG,2009-08-20,112.45,112.45,105.0,108.57,1746858
BHARATFORG,2009-08-21,109.03,110.25,106.1,109.5,1172022
BHARATFORG,2009-08-24,111.13,116.95,111.13,115.07,1971930
BHARATFORG,2009-08-25,114.5,116.0,109.93,112.72,2044312
BHARATFORG,2009-08-26,112.75,115.22,110.2,110.82,891066
BHARATFORG,2009-08-27,111.15,118.65,110.55,115.25,4327626
BHARATFORG,2009-08-28,116.25,118.7,112.65,113.38,1919844
BHARATFORG,2009-08-31,112.5,115.3,108.5,110.0,2141534
BHARATFORG,2009-09-01,110.0,112.68,107.5,108.5,1112666
BHARATFORG,2009-09-02,108.5,110.22,106.55,108.45,892658
BHARATFORG,2009-09-03,109.0,111.5,107.6,108.3,666450
BHARATFORG,2009-09-04,107.5,111.85,107.5,110.0,1643160
BHARATFORG,2009-09-07,112.18,113.3,110.0,112.95,1428822
BHARATFORG,2009-09-08,114.0,114.25,110.25,110.6,1082652
BHARATFORG,2009-09-09,111.0,111.9,108.0,108.4,1390096
BHARATFORG,2009-09-10,110.47,110.9,105.6,106.47,1324522
BHARATFORG,2009-09-11,107.18,107.82,105.1,106.45,852512
BHARATFORG,2009-09-14,101.0,114.75,101.0,113.85,4043930
BHARATFORG,2009-09-15,114.85,117.0,112.85,115.85,4386872
BHARATFORG,2009-09-16,116.28,124.5,116.28,121.9,4773508
BHARATFORG,2009-09-17,122.5,129.9,120.13,127.28,3591912
BHARATFORG,2009-09-18,127.75,147.0,127.0,143.38,13360890
BHARATFORG,2009-09-22,140.02,144.45,135.05,135.8,4341780
BHARATFORG,2009-09-23,137.0,138.2,133.05,134.6,1870096
BHARATFORG,2009-09-24,134.4,141.63,132.02,137.98,5852986
BHARATFORG,2009-09-25,137.93,140.25,136.0,137.27,1672346
BHARATFORG,2009-09-29,140.0,140.5,135.07,137.3,736624
BHARATFORG,2009-09-30,137.98,139.9,135.3,138.43,890964
BHARATFORG,2009-10-01,139.45,143.55,138.0,139.35,1520072
BHARATFORG,2009-10-05,139.75,139.75,131.25,132.48,1145440
BHARATFORG,2009-10-06,134.48,138.73,127.63,136.88,1258518
BHARATFORG,2009-10-07,140.0,141.0,134.1,134.95,804064
BHARATFORG,2009-10-08,135.05,141.0,131.68,138.05,1213424
BHARATFORG,2009-10-09,139.5,139.5,134.02,134.93,702608
BHARATFORG,2009-10-12,136.0,138.0,133.0,136.25,469790
BHARATFORG,2009-10-14,136.73,146.0,136.5,144.1,2875226
BHARATFORG,2009-10-15,145.5,153.77,144.0,147.1,5805646
BHARATFORG,2009-10-16,145.1,148.25,141.82,144.13,1149138
BHARATFORG,2009-10-17,145.0,146.0,143.0,143.98,204048
BHARATFORG,2009-10-20,145.5,145.85,141.45,142.52,719808
BHARATFORG,2009-10-21,143.5,144.13,137.5,138.8,780068
BHARATFORG,2009-10-22,138.5,144.15,136.15,138.35,1652686
BHARATFORG,2009-10-23,141.05,142.0,133.55,136.27,1553278
BHARATFORG,2009-10-26,137.0,137.95,131.75,132.8,1082076
BHARATFORG,2009-10-27,131.5,133.4,126.45,128.2,1366264
BHARATFORG,2009-10-28,122.0,132.95,122.0,130.0,770378
BHARATFORG,2009-10-29,125.5,129.93,123.07,125.47,3639218
BHARATFORG,2009-10-30,128.0,131.25,123.03,125.13,971810
BHARATFORG,2009-11-03,123.2,130.57,121.57,123.55,680520
BHARATFORG,2009-11-04,124.97,134.45,124.0,132.82,953932
BHARATFORG,2009-11-05,132.63,133.93,130.05,133.18,593956
BHARATFORG,2009-11-06,135.75,138.65,133.8,135.35,1074154
BHARATFORG,2009-11-09,135.95,137.4,131.75,132.9,887532
BHARATFORG,2009-11-10,133.6,137.7,133.07,136.45,2023906
BHARATFORG,2009-11-11,137.5,141.0,136.18,139.6,1792372
BHARATFORG,2009-11-12,140.5,141.5,132.5,133.05,1101010
BHARATFORG,2009-11-13,132.5,134.9,130.55,132.88,649766
BHARATFORG,2009-11-16,138.5,138.5,134.13,135.45,966684
BHARATFORG,2009-11-17,136.45,139.82,136.05,137.4,1884676
BHARATFORG,2009-11-18,136.5,138.85,136.1,136.88,627300
BHARATFORG,2009-11-19,136.0,137.35,130.7,131.52,562828
BHARATFORG,2009-11-20,129.32,133.32,129.05,132.38,1895298
BHARATFORG,2009-11-23,133.35,134.4,129.3,130.0,1162200
BHARATFORG,2009-11-24,131.1,141.75,130.02,139.48,3933280
BHARATFORG,2009-11-25,140.98,140.98,136.25,137.05,1783040
BHARATFORG,2009-11-26,137.5,139.98,131.0,131.88,3013130
BHARATFORG,2009-11-27,130.5,131.25,126.05,130.3,1748122
BHARATFORG,2009-11-30,132.5,134.2,131.3,132.07,716468
BHARATFORG,2009-12-01,133.35,138.6,133.32,137.45,1335116
BHARATFORG,2009-12-02,138.5,139.5,135.57,136.98,1070884
BHARATFORG,2009-12-03,137.5,139.0,135.6,136.65,376278
BHARATFORG,2009-12-04,138.0,138.88,134.52,136.02,757562
BHARATFORG,2009-12-07,137.5,137.85,132.02,132.63,592522
BHARATFORG,2009-12-08,132.65,136.0,132.05,134.68,1546164
BHARATFORG,2009-12-09,134.25,135.95,131.1,132.2,1036530
BHARATFORG,2009-12-10,132.5,134.35,131.5,132.45,740646
BHARATFORG,2009-12-11,134.5,138.13,132.75,136.98,3017670
BHARATFORG,2009-12-14,137.52,139.0,134.57,135.38,2108626
BHARATFORG,2009-12-15,136.9,138.0,129.55,130.75,1332270
BHARATFORG,2009-12-16,127.0,133.9,127.0,133.05,1038634
BHARATFORG,2009-12-17,133.13,133.25,131.25,132.25,574980
BHARATFORG,2009-12-18,132.35,133.45,130.5,130.85,497884
BHARATFORG,2009-12-21,131.95,132.88,128.75,129.4,514540
BHARATFORG,2009-12-22,130.25,133.4,130.25,132.68,617138
BHARATFORG,2009-12-23,132.5,135.9,132.07,134.77,762592
BHARATFORG,2009-12-24,136.07,136.73,134.13,134.73,598090
BHARATFORG,2009-12-29,134.5,136.5,134.1,134.6,377496
BHARATFORG,2009-12-30,136.0,138.9,134.68,137.07,1991958
BHARATFORG,2009-12-31,138.02,141.0,135.5,136.1,3055914
BHARATFORG,2010-01-04,136.02,138.65,135.1,137.82,923122
BHARATFORG,2010-01-05,140.0,142.05,137.6,140.73,2569538
BHARATFORG,2010-01-06,142.5,147.4,142.18,144.13,5421274
BHARATFORG,2010-01-07,144.95,144.95,140.6,141.55,1398918
BHARATFORG,2010-01-08,140.0,144.48,140.0,140.85,1399608
BHARATFORG,2010-01-11,145.5,145.5,141.55,142.18,1417688
BHARATFORG,2010-01-12,142.65,143.75,140.0,141.1,1032558
BHARATFORG,2010-01-13,140.05,143.25,139.0,142.48,851120
BHARATFORG,2010-01-14,143.85,149.75,143.0,148.93,4545366
BHARATFORG,2010-01-15,152.5,152.5,146.65,147.27,2522156
BHARATFORG,2010-01-18,147.5,151.68,145.55,151.23,1660342
BHARATFORG,2010-01-19,151.75,151.75,146.27,147.43,1298960
BHARATFORG,2010-01-20,148.25,150.4,145.25,146.68,944100
BHARATFORG,2010-01-21,146.75,148.4,140.32,141.88,926082
BHARATFORG,2010-01-22,142.0,143.0,136.5,141.63,1130076
BHARATFORG,2010-01-25,143.0,147.25,137.27,138.45,1585570
BHARATFORG,2010-01-27,137.5,138.98,128.55,130.7,1086178
BHARATFORG,2010-01-28,132.5,139.13,130.02,137.73,2571422
BHARATFORG,2010-01-29,135.25,136.9,128.77,133.6,1548798
BHARATFORG,2010-02-01,133.5,137.95,132.07,137.0,666886
BHARATFORG,2010-02-02,138.85,139.2,132.88,133.7,655430
BHARATFORG,2010-02-03,134.85,136.73,134.0,135.45,553818
BHARATFORG,2010-02-04,135.0,136.0,130.18,131.25,814532
BHARATFORG,2010-02-05,126.65,129.0,123.25,125.0,1088306
